time,text,language,scam_type,lure_principles,named_entity,url_shortener,exact_key,scam_score,predicted_scam
2021-11-21,"~ Msg: Chasec- Block placed on your Chase checking account, please contact <PHONE_NUMBER> to authenticate.",English,banking,"authority,time/urgency",chase,,5b8e7017b8c1d390,0.870886529378202,1
2021-11-21,You / have (1) outstanding package! Ref: DHL-6461W Last chance to pick up > <URL> ?<NAMED_ENTITY>-v5zp,English,delivery,"authority,time/urgency",DHL,,d0fa9f48efd249d0,0.33285264392067077,0
6:39,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",English,government,"authority,need and greed,time/urgency",IRS,,1f8d588b134dd61d,0.6982983815474284,1
"Fri, Apr 14 at 5:59 AM","We regret to inform you that your Netflix membership has been placed on hold due to issues with your billing information. We kindly request to update your billing information as soon as possible to continue using your account without any interruption. To update your billing information, please follow the instructions by click on link below : https:// <URL> Netflix Services",English,others,"authority,time/urgency",Netflix,,7e675a49310cd445,0.9084746181570605,1
"Monday, Aug 16, 2021 • 5:47 PM",adidas code: 3944. Valid for <DATE_TIME>.,English,others,time/urgency,adidas,,767dfdcc63a29d56,0.4444818909376774,0
Yesterday 22:50,"VODAFONE: Your Mobile SIM Contract(s) will be disabled, due to failure to accept our new Terms of Service. Log on: <URL> to accept",English,telecom,"authority,time/urgency",Vodafone,,69609c2b3efeea14,0.8463810843513329,1
Today 12:36 PM,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. In order to expedite the processing of your refund and avoid potential delays or penalties, please provide accurate personal information immediately to ensure precise payment. Deadline: <DATE_TIME>.",English,government,"authority,time/urgency",IRS,,306f8058b61665a0,0.7881079621891104,1
"Monday, November 7, 2022 12:53 PM",Alert:Your Edd account was just signed in new device. If this wasn't you kindly click here <NAMED_ENTITY> to regain the access or visit nearby branch.,English,others,"authority,time/urgency",edd,,0a9ecd4d25c5b28d,0.591810271089686,1
"Wednesday, Dec 14, 2022 • 12:08 PM",<URL>,English,others,,,,a0489c98f6d3133a,0.15861481950075926,0
Yesterday 4:33 PM,"FRM:<US_DRIVER_LICENSE>-Fed_EX.<US_DRIVER_LICENSE> MSG:flm-;it will be returned to sender,We have made several attempts to reach you,",English,delivery,"authority,time/urgency",fedex,,5b3ee0006e9fc170,0.2670800649963753,0
Today 4:53 PM,"{IRS-GOV}Your refund was rejected by IRS, to get approve kindly verify your identity here <URL> now",English,government,"authority,time/urgency",IRS,,9055221a3c1c9672,0.5848731072573231,1
"Wed, Aug 16 at 7:55 AM",NFCU ALERT: An attempt of $48.00 at Uber If you didn't authorize this transaction follow the link to cancel <URL>,English,banking,"authority,time/urgency",nfcu,,9dd23655aeeb6723,0.5112000736313121,1
12:46 PM,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to...",English,government,"authority,need and greed",IRS,,e62e6f1178ce6ab4,0.5103292488997294,1
"Sat, May 27 at 6:45 PM","Hi Camillearielle. According to the CDC, gun violence is the leading cause of death for children & teens in <LOCATION>. <DATE_TIME>, young people are facing threats of mass shootings in schools and neighborhood parks and streets. We must do better! While President <NAMED_ENTITY> has taken more executive action to reduce gun violence than any other president, <NRP> in Congress refuse to act.",English,others,,cdc,,37b5ee76dadb0a82,0.1584949930681597,0
,"Look who died, in an accident I think you know him so sorry...",English,others,distraction,,,13889cc52cb6f834,0.07541214661900497,0
12:46 PM,"Transaction Alerts: your B 0 A card was used on <DATE_TIME> 15:46:55 EST for $1991.51, if you do not recognise this transaction contact us on <PHONE_NUMBER>",English,banking,"authority,time/urgency",b 0 a,,6274ace79fe25f89,0.4582377958468447,0
Today 11:16 AM,Important message sent to you by . Code: VISA DEBIT Card Locked. Call support at: <PHONE_NUMBER>. Thank you! Alert Code: DsDXQxJkZjCdPnINFq,English,banking,"authority,time/urgency",visa,,de08b8e10f108554,0.6826415023028928,1
5:32,"ID:13319 [Track Packages] Your package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address at the link: <URL> (reply to 1 to get a secure link) Or (Copy the link to your Safari browser and open it) Sincerely, USPS Support Team",English,delivery,"authority,time/urgency",USPS,rb.gy,bcee2ac0941fccd4,0.7252687894206395,1
Today 13:32,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. <URL> (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",English,government,"authority,need and greed,time/urgency",IRS,,85aa13518826742a,0.6799117955451498,1
4:35 PM,You will receive a refund of $976.0 We will charge this amount to those of you who have submitted the documents we require for these steps to claim your assignment you and.,English,others,"authority,need and greed",,,89836ad57ed43046,0.6993478100139905,1
"12:42 PM, Jan 24","IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated. The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team",English,government,"authority,time/urgency",IRS,,c96eb8c53e2693d4,0.4594279365159734,0
5:07 PM,"[I.R.S] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information....",English,government,"authority,need and greed",IRS,,c6b3328a5c5c96c5,0.5423200894452913,1
"Tue, Jul 26 at 2:51 PM",BOA: Your Online Profile has a probable association with a system vulnerability. Log in and verify your details at <URL> to prevent identity theft.,English,banking,"authority,distraction,time/urgency",Bank of America,,1fb23ba441de0e26,0.6202424106579548,1
"Oct 2, 2021 11:12 AM","hi <NAMED_ENTITY>, it’s been a long time since I came out, what are you doing recently?",English,wrong number,,,,ce3affccc8f86e14,0.07466593767290887,0
Today 12:21 AM,"The USPS package arrived at the warehouse but could not be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply <NAMED_ENTITY>, then exit the text message and open it again to activate the link, or copy the link and open it in your Safari browser). The USPS team wishes you a wonderful day!",English,delivery,"authority,time/urgency",USPS,,b1d1ae7bebb802b4,0.5576363346408801,1
Today 6:08 PM,"Alert Notification - #U56A4 Frm :IRS Government MSG : IR-2018-616, <DATE_TIME> February,2024 - Many taxpayers, at risk for having too little tax withheld from their pay, can avoid a surprise <DATE_TIME> tax bill by quickly updating the withholding from they give to their employer, according to the IRS Please get your tax return Transcript",English,government,"authority,time/urgency",IRS,,68a55430f6841cb2,0.44250844878479906,0
"Thu, Aug 3 at 11:15 AM","T-Mobile: Eligible CA residents get FREE data+talk+text & a smartphone with Assurance Wireless, part of the T-Mobile family. California LifeLine is a government assistance program Restrictions apply. Visit <URL> Data rates may apply.",English,telecom,"authority,need and greed,time/urgency"," assurance wireless,T-Mobile",,faa80b479911bed2,0.6134507529587976,1
"Mon, Apr 24, 9:17 AM",Hello. I'm <NAMED_ENTITY>. Just found your house in the neighborhood and thought of reaching out to you re: a sale for it. Any interest?,English,wrong number,,,,4484ae9c4d3489a0,0.1721766745660937,0
1:11 PM,"[ I.R.S ] You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link. (Please reply ""y"", then exit the SMS, open the SMS activation link again, or copy the link and open it in Safari browser) The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service.",English,government,"authority,need and greed,time/urgency",IRS,,10fc5cb2d1b46610,0.6829569361759161,1
"Tuesday, January 30 2:21 PM",(FIRST_CITIZEN) Your card Locked Due to un_usual transantion attempts click ((<URL>)) to secure now.,English,banking,"authority,time/urgency",firstcitizen,,4df4dc99c9f2d22e,0.8231890603821563,1
2:47 AM,"You have been offered a Grant of $1,450,000.00 Kindly contact <NAMED_ENTITY> with Ref#:WBG-3411-01FG (Fconolly 720 @ gmail .com)",English,others,need and greed,,,540876be599cf23c,0.9031466077714482,1
12:09 PM,T-Mobile: You're missing out! My T-Mobile makes managing your line quick and easy. Get your T-Mobile ID to get started: <URL>,English,telecom,"authority,herd,need and greed",T-Mobile,,c73ae231e126cbf6,0.5179874185407026,1
"Thursday, March 23, 2023 8:46 AM",(New trans. of $85.92 @DollarTree #784 Call) <PHONE_NUMBER> to approve/decline,English,banking,"authority,time/urgency",dollartree,,4e9091c392df53d0,0.9603273472085067,1
"Wednesday, December 8, 2021 · 2:41 PM",<NAMED_ENTITY><URL>,English,others,,,,6da3772ef99fbd81,0.15861481950075926,0
Today 4:22 PM,MS Teams Issue Users are experiencing intermittent latency issues with the MS Tea... <URL> or Reply with YES to confirm receipt.,English,others,"authority,time/urgency",ms teams,,3079fa51663c889e,0.3307845901590212,0
"Tuesday, June 7, 2022 6:47 AM","[USP-postal] Sorry because your delivery address is wrong, your package has been stopped, please update the address: <URL>",English,delivery,"authority,time/urgency",usp-postal,rebrand.ly,af01e2371510c1eb,0.6867264402173792,1
"Monday, Aug 22 • 7:11 AM","Notification From Amazon: We've locked your Amazon account due to a billing issue. To unlock your Amazon account, please click link below: <URL> Please take action on your account within <DATE_TIME> to avoid permanent suspension. Regards, Amazon Service",English,others,"authority,time/urgency",Amazon,qr.io,8604a7d1dd92b99f,0.9218970890685708,1
04:47,"POST-OFFICE No one was in to sign for (100764773GB), use <URL> to rebook a new slot.",English,delivery,"authority,time/urgency",post-office,,aee8fa1e11f6efee,0.21315874467384108,0
Today 6:28 PM,"Hi, <NAMED_ENTITY> here. I'm sitting here at the bar, want to meet me? Contact me <URL>",English,wrong number,kindness,,,7da14c24cfe5ef9f,0.12637656453062177,0
3:07 PM,(USAA Alert) Confirm and verify your transactions: <URL> If all looks good you don't have to do anything USAA.,English,banking,"authority,time/urgency",usaa,,2e4a97255dc0d7b7,0.24085947403785776,0
Yesterday 8:59 AM,"USPS service: Package was delayed due to incomplete door number. Reply to [ CHK ], please reconfirm your address. <URL> Please update it timely.Open link in browser",English,delivery,"authority,time/urgency",USPS,,74182593d3f737c4,0.7928728275184567,1
"Wed, 10 Jan at 10:53",GOV IE: You are eligible for Emergency Benefit Scheme II. Follow <URL> to verify information to receive a discounted bill.,English,government,"authority,need and greed",government of ireland,,537a02d38bcab61f,0.6632025854004512,1
6:57 PM,"Hi <NAMED_ENTITY>, <NAMED_ENTITY> is conducting a short survey on issues important to residents of <LOCATION>. <DATE_TIME> of your time will make a difference. Survey: <URL> Reply STOP to unsubscribe.",English,others,"authority,kindness",dynata,,e0c08293603c038e,0.653511512423096,1
5:27 PM,<URL>BIT-VISA-CARD:Your card has been disabled. Re-enable it at https:// <URL> to keep it intact.,English,banking,"authority,time/urgency",,,538294591c704933,0.5680449173215792,1
Today 2:58 AM,"We would like to inform you that there are pending instructions required for your shipment with Tracking Number 1Z46R46R0392950170. To expedite the delivery process, kindly confirm the address details by visiting the following link: <URL> Best Regards.",English,delivery,"authority,time/urgency",UPS,,ff93d475ebc6cfc9,0.42170230529618574,0
Today 1:19 AM,"hims: <NAMED_ENTITY>, thanks for submitting your visit. your information is being reviewed by a healthcare provider now. keep an eye out for a message from them shortly. Msg&Data rates may apply. Reply STOP to cancel or HELP for assistance.",English,others,,hims,,00f9ad18ae48c8a2,0.8691170456691897,1
2:37 PM,IRS: Your IDME Profile is compromise. visit <URL> to regain access.,English,government,"authority,time/urgency",IRS,,6e49be3e55aa3704,0.5227147528935832,1
Yesterday 1:54 PM,IRS-STATEMENT-CLAIM.pdf PDF Document - 84 <NRP>,English,government,authority,IRS,,c7acb52940d793e3,0.7374644992390742,1
"Mon, Aug 21 at 8:09 AM","The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link. <URL> (Please reply to 1, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The <LOCATION> Postal team wishes you a wonderful day!",English,delivery,"authority,time/urgency",USPS,,008d56b704d92932,0.5570204497739605,1
Today 9:22 AM,"Coach <NAMED_ENTITY>, I may not have time to go to the gym <DATE_TIME>. Sorry!",English,wrong number,,,,4dfc7e489bca05d9,0.10923192022587937,0
01:34 p. m.,"You will receive a tax refund of $573.00, but cannot process it due to incomplete personal information. Please confirm your information in the link.",English,government,"authority,need and greed,time/urgency",government,,52133ef051e47380,0.6982983815474284,1
"Jul 28, 2022 at 6:01 AM",<LOCATION> Shipping: Your package has the wrong address and has been temporarily suspended. Please take steps to reactivate it after replying to [ok].,English,delivery,"authority,distraction,time/urgency",us shipping,,4ca8e5d3f4100d1a,0.48693327726821495,0
Today 12:06 PM,"Hey, Anne how's it going so far?",English,wrong number,,,,0bc718c59cca56ef,0.040661682913185684,0
"Tue, Mar 14 at 05:53","Your Amazon Account has been locked. We recently received multiple failed login attempts to your account. Recovery your account immediately click link bellow: <URL> Please take action on your account within <DATE_TIME> to avoid permanent suspension. Regards, Amazon Service",English,others,"authority,time/urgency",Amazon,,9c83ff02966d81dc,0.9245301849528065,1
"Sun, Mar 5 at 9:04 AM","SSU I, Housing resources can help shelter your family! See if you qualify: <URL>",English,others,,,,908a95a73e6038d8,0.20949754841854493,0
Today 10:39 PM,"Mr. <NAMED_ENTITY>, how do you feel about the company's plan?",English,wrong number,,,,c41e4e6a2cee69ba,0.0534503470566806,0
"Tue, Jun 7 at 3:24 PM",FRM:Altura CU. MSG:Security Alert Verify your account to avoid permanent lock,English,banking,"authority,time/urgency",altura cu,,2fc5a9f1de5cec34,0.7251185740606586,1
"Mon, Aug 21 at 12:40 PM","""Apple Macbook Pro on your Amazon account. If you do not authorize this payment, please press one to speak to our customer support representative."" Click here: <US_DRIVER_LICENSE> to listen to full voice message.",English,others,"authority,time/urgency",Amazon,,d9ccefd0c8979c2e,0.7879559581535674,1
Today 6:05 PM,<URL>:-Your Tax Return was rejected by the IRS. kindly fix this by go to https:// <URL>ine now,English,government,"authority,time/urgency",IRS,,605d4031a6793f93,0.408164709989493,0
Today 14:16,"Your postal package has arrived at the local warehouse, but due to incorrect shipping address or incomplete information, it cannot be delivered. The package will be returned in <DATE_TIME>. Please confirm your correct address in the link as soon as possible.",English,delivery,"distraction,time/urgency",,,447b7dae5a8e0e6c,0.5136577071739714,1
Today 7:59 PM,"Frontier: Thank you for your order <US_BANK_NUMBER>. We've scheduled your appointment for <DATE_TIME> at <DATE_TIME>. Reply CONFIRM to keep your appointment. To make a change to your appointment, click here: <URL> Please remember someone <DATE_TIME> needs to be present.",English,others,,frontier,,a8f69ca86f4d1f33,0.5798343712127293,1
"Wednesday, Aug 14, 2019 • 10:20",848.77 for <NAMED_ENTITY> <URL>,English,others,,,tinyurl.com,7a6be891df181081,0.2146020606160854,0
Today 11:25 AM,CANCELLATION: Confirm your delivery details by <DATE_TIME> to avoid cancellation of your fully paid order <URL>,English,delivery,time/urgency,,,bda3e8d39cd680a2,0.6957814543529551,1
6:42 PM,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> With idme to keep your account activated The mission of the IRS is to help <NRP> taxpayers understand and meet their tax obligations and to provide them with the highest quality service. IRS team",English,government,"authority,time/urgency",IRS,,5427c173549bf0e9,0.4594279365159734,0
"dom, abr. 9 2:01 p. m.","Netfl1xID:<US_DRIVER_LICENSE> <NAMED_ENTITY> IS_0N ""H0ID"",Renewal-your-bill-now:// @@,<URL>",English,others,"authority,time/urgency",Netflix,,24da3e389f90065e,0.4582907889656189,0
"Thursday, Sep 21 • 9:35 AM",USPostal: Your package delivery has been paused due to missing street information for the package delivery city.,English,delivery,"authority,time/urgency",uspostal,,29ead1c488954af6,0.7326307318189376,1
"Thu, Oct 6 at 12:55 PM","A payment of $200.00 has been made to Chase_Morgan credit. If you didn't authorize this, visit Https://<EMAIL_ADDRESS><URL> to cancel payment.",English,banking,"authority,time/urgency",union bank,,6978e9556dc1be2c,0.7054128484517029,1
Today 1:34 PM,"CHASE BANK ALERT : We detected an unusual attempt at 30 mall Dr unit 0B04 <LOCATION>, <LOCATION> 07310 if this was not you please use the secured link to verify your identity and secure your account : <URL>",English,banking,"authority,distraction,time/urgency",chase bank,,8fd5ea0cee482b0e,0.6564893289307909,1
"Thu, May 18 at 11:43","Good morning, my name is <NAMED_ENTITY>, a career counselor for the military in <LOCATION>, CA. I’m reaching out to see if you would be interested in sitting down for more information about the Army benefits and programs, including money for education and up to $50,000 in bonuses.",English,others,"authority,need and greed",army,,7035a8910abedbe9,0.13193224090387826,0
Today 9:29 AM,IRS_TAX_REFUND_ID_#01QF2OJ091.pdf,English,government,authority,IRS,,690c065bb5abc35b,0.14477358894515596,0
,"A payment of $612.98 is initiated from your Cash App account If it is not authorize by you, please contact <PHONE_NUMBER> If its done by you then please ignore",English,banking,"authority,time/urgency",cash app,,658eda7d95070e79,0.6347353267449722,1
Today 6:24 AM,(1) U have usdt (2) How can u invest and register (3) How can u participate Send me a message by,English,others,,,wa.me,ed170cd6df08e280,0.07684068311863612,0
"Oct 29, 2021 9:38 PM",Amazon: Sign-in attempt from <LOCATION>. Tap link to respond.,English,others,"authority,time/urgency",Amazon,,9daff66f9f42a700,0.4036965790207329,0
"Mon, Oct 17, 9:10 AM","Package reminder: We cannot deliver your package to door due to the incomplete house number, please fill in the address.",English,delivery,"distraction,time/urgency",,,69bce1d1fcb78270,0.4242789631441969,0
"Monday, Oct 5, 2020 4:09 PM","Here's <NAMED_ENTITY>'s simple ""plain English"" voter guide to cut through the confusing & misleading ballot they sent you. Share!",English,others,,carl demaio,,78040881ff9acdf3,0.14050922768725982,0
Mon 4:25 PM,"<NAMED_ENTITY>, <NAMED_ENTITY> is conducting a short survey on issues important to residents of Vista. <DATE_TIME> of your time will make a difference. Survey: <URL> Reply STOP to unsubscribe.",English,others,"distraction,need and greed",dynata,,5397d8cad44200db,0.7087091850931889,1
"Saturday, May 13 6:27 AM","Your shipment could not be delivered, due to an unpaid duty fee. To reschedule a delivery date, continue now: <URL> Regards, UPS Depo",English,delivery,"authority,time/urgency",UPS,,b823716b32d1f0c5,0.5823965160413547,1
4:30,"IRS: Your account is missing some info that we need to comply with financial regulations , login at <URL> /MManpQ?KiY= Tccvidcmp With idme to keep your account activated",English,government,"authority,time/urgency",IRS,,8d7abe915837fedd,0.44268771721965605,0
Today 8:18 AM,"The USPS package has arrived at the warehouse and cannot be delivered due to incomplete address information. Please confirm your address in the link within <DATE_TIME>. <URL> (Please reply to Y, then exit the SMS, open the SMS activation link again, or copy the link to Safari browser and open it) The <LOCATION> Postal team wishes you a wonderful day",English,delivery,"authority,time/urgency",USPS,,4af0a0b8886940b8,0.5798082478860482,1
